
Frame 1:

Frame 2:

Frame 3:
14: person           70% - Location - xc:   201, yc:   380, width:    20, height:    55
15: person           54% - Location - xc:   507, yc:   636, width:    27, height:    55
16: person           54% - Location - xc:   642, yc:   369, width:  1106, height:   492
17: person           50% - Location - xc:   681, yc:   346, width:    15, height:    37

Frame 12:
1: person           93% - Location - xc:  1001, yc:   355, width:    21, height:    47
2: person           92% - Location - xc:   337, yc:   197, width:    18, height:    40
3: person           92% - Location - xc:   255, yc:   254, width:    21, height:    46
4: person           90% - Location - xc:   387, yc:   284, width:    18, height:    47
5: person           89% - Location - xc:  1060, yc:   280, width:    19, height:    40
6: person           87% - Location - xc:  1175, yc:   249, width:    19, height:    43
7: person           83% - Location - xc:   917, yc:   307, width:    22, height:    49
8: person           81% - Location - xc:   198, yc:   314, width:    19, height:    44
9: person           80% - Location - xc:   875, yc:   228, width:    15, height:    30
10: person           80% - Location - xc:   659, yc:   458, width:    19, height:    54
11: person           73% - Location - xc:  1227, yc:   307, width:    18, height:    43
12: person           73% - Location - xc:  1090, yc:   203, width:    18, height:    35
13: person           71% - Location - xc:   531, yc:   195, width:    14, height:    30
14: person           70% - Location - xc:   201, yc:   380, width:    20, height:    55
15: person           54% - Location - xc:   507, yc:   636, width:    27, height:    55
16: person           53% - Location - xc:   642, yc:   369, width:  1106, height:   491

Frame 13:
1: person           93% - Location - xc:  1001, yc:   355, width:    21, height:    46
2: person           92% - Location - xc:   337, yc:   197, width:    18, height:    39
3: person           91% - Location - xc:   256, yc:   254, width:    22, height:    46
4: person           90% - Location - xc:   387, yc:   284, width:    17, height:    47
5: person           89% - Location - xc:  1060, yc:   280, width:    19, height:    40
6: person           84% - Location - xc:  1176, yc:   249, width:    20, height:    43
7: person           82% - Location - xc:   916, yc:   307, width:    21, height:    49
8: person           80% - Location - xc:   875, yc:   227, width:    15, height:    29
9: person           81% - Location - xc:   198, yc:   314, width:    19, height:    44
10: person           75% - Location - xc:   660, yc:   457, width:    20, height:    55
11: person           73% - Location - xc:  1226, yc:   307, width:    19, height:    44
12: person           73% - Location - xc:  1090, yc:   203, width:    18, height:    35
13: person           70% - Location - xc:   530, yc:   194, width:    13, height:    29
14: person           69% - Location - xc:   201, yc:   380, width:    20, height:    55
15: person           56% - Location - xc:   507, yc:   637, width:    27, height:    54
16: person           54% - Location - xc:   642, yc:   369, width:  1108, height:   491

Frame 14:
1: person           93% - Location - xc:  1002, yc:   355, width:    20, height:    46
2: person           91% - Location - xc:   388, yc:   284, width:    18, height:    47
3: person           91% - Location - xc:   337, yc:   197, width:    18, height:    39
4: person           89% - Location - xc:   256, yc:   253, width:    22, height:    46
5: person           89% - Location - xc:  1060, yc:   280, width:    19, height:    40
6: person           82% - Location - xc:   916, yc:   307, width:    21, height:    50
7: person           81% - Location - xc:   198, yc:   314, width:    19, height:    44
8: person           81% - Location - xc:  1175, yc:   249, width:    21, height:    44
9: person           78% - Location - xc:   875, yc:   228, width:    15, height:    30
10: person           71% - Location - xc:   661, yc:   458, width:    20, height:    56
11: person           72% - Location - xc:  1226, yc:   307, width:    19, height:    44
12: person           71% - Location - xc:   531, yc:   195, width:    14, height:    30
13: person           72% - Location - xc:  1090, yc:   203, width:    18, height:    35
14: person           69% - Location - xc:   201, yc:   380, width:    20, height:    55
15: person           56% - Location - xc:   507, yc:   637, width:    27, height:    54
16: person           55% - Location - xc:   641, yc:   369, width:  1110, height:   491

Frame 15:
1: person           94% - Location - xc:  1002, yc:   355, width:    20, height:    46
2: person           91% - Location - xc:   388, yc:   284, width:    18, height:    47
3: person           91% - Location - xc:   337, yc:   198, width:    17, height:    40
4: person           89% - Location - xc:  1060, yc:   280, width:    19, height:    40
5: person           88% - Location - xc:   256, yc:   252, width:    21, height:    47
6: person           82% - Location - xc:   916, yc:   307, width:    21, height:    50
7: person           81% - Location - xc:   198, yc:   314, width:    19, height:    44
8: person           80% - Location - xc:  1175, yc:   249, width:    21, height:    44
9: person           77% - Location - xc:   875, yc:   228, width:    15, height:    29
10: person           72% - Location - xc:   661, yc:   458, width:    21, height:    56
11: person           72% - Location - xc:  1226, yc:   307, width:    19, height:    44
12: person           71% - Location - xc:   531, yc:   195, width:    14, height:    29
13: person           71% - Location - xc:  1090, yc:   203, width:    17, height:    35
14: person           69% - Location - xc:   201, yc:   380, width:    20, height:    55
15: person           57% - Location - xc:   507, yc:   637, width:    27, height:    54
16: person           56% - Location - xc:   640, yc:   370, width:  1117, height:   490

Frame 16:
1: person           94% - Location - xc:  1002, yc:   355, width:    20, height:    46
2: person           91% - Location - xc:   338, yc:   198, width:    18, height:    39
3: person           91% - Location - xc:   388, yc:   284, width:    18, height:    47
4: person           89% - Location - xc:  1060, yc:   280, width:    19, height:    40
5: person           87% - Location - xc:   257, yc:   252, width:    22, height:    48
6: person           84% - Location - xc:   198, yc:   314, width:    19, height:    46
7: person           82% - Location - xc:   917, yc:   307, width:    22, height:    50
8: person           81% - Location - xc:  1176, yc:   249, width:    20, height:    44
9: person           75% - Location - xc:   875, yc:   227, width:    15, height:    29
10: person           75% - Location - xc:   531, yc:   195, width:    14, height:    29
11: person           74% - Location - xc:  1226, yc:   307, width:    19, height:    44
12: person           72% - Location - xc:  1090, yc:   203, width:    17, height:    35
13: person           70% - Location - xc:   201, yc:   380, width:    20, height:    55
14: person           66% - Location - xc:   662, yc:   459, width:    20, height:    54
15: person           56% - Location - xc:   507, yc:   637, width:    27, height:    54
16: person           55% - Location - xc:   639, yc:   369, width:  1121, height:   487

Frame 17:
1: person           94% - Location - xc:  1002, yc:   355, width:    20, height:    47
2: person           92% - Location - xc:   338, yc:   199, width:    18, height:    40
3: person           90% - Location - xc:   388, yc:   284, width:    18, height:    47
4: person           89% - Location - xc:  1060, yc:   280, width:    19, height:    40
5: person           87% - Location - xc:   256, yc:   252, width:    21, height:    48
6: person           84% - Location - xc:   198, yc:   314, width:    19, height:    46
7: person           82% - Location - xc:   917, yc:   307, width:    22, height:    50
8: person           81% - Location - xc:  1176, yc:   248, width:    21, height:    44
9: person           78% - Location - xc:   532, yc:   195, width:    15, height:    31
10: person           74% - Location - xc:  1226, yc:   307, width:    19, height:    43
11: person           72% - Location - xc:   876, yc:   227, width:    15, height:    28
12: person           73% - Location - xc:  1090, yc:   203, width:    17, height:    35
13: person           69% - Location - xc:   200, yc:   380, width:    19, height:    55
14: person           58% - Location - xc:   507, yc:   637, width:    27, height:    54
15: person           64% - Location - xc:   663, yc:   458, width:    20, height:    51
16: person           56% - Location - xc:   639, yc:   369, width:  1126, height:   485

Frame 18:
1: person           94% - Location - xc:  1002, yc:   355, width:    20, height:    46
2: person           92% - Location - xc:   338, yc:   199, width:    17, height:    40
3: person           90% - Location - xc:   388, yc:   285, width:    18, height:    46
4: person           89% - Location - xc:  1060, yc:   280, width:    19, height:    40
5: person           88% - Location - xc:   257, yc:   252, width:    20, height:    48
6: person           85% - Location - xc:   198, yc:   314, width:    18, height:    46
7: person           82% - Location - xc:   533, yc:   194, width:    16, height:    33
8: person           82% - Location - xc:   917, yc:   307, width:    22, height:    50
9: person           79% - Location - xc:  1177, yc:   248, width:    20, height:    44
10: person           76% - Location - xc:  1226, yc:   307, width:    19, height:    43
11: person           73% - Location - xc:  1090, yc:   203, width:    17, height:    35
12: person           69% - Location - xc:   200, yc:   380, width:    19, height:    55
13: person           68% - Location - xc:   876, yc:   226, width:    15, height:    27
14: person           59% - Location - xc:   507, yc:   637, width:    27, height:    54
15: person           57% - Location - xc:   638, yc:   369, width:  1122, height:   486
16: person           59% - Location - xc:   663, yc:   458, width:    19, height:    49

Frame 19:
1: person           94% - Location - xc:  1002, yc:   355, width:    20, height:    46
2: person           92% - Location - xc:   338, yc:   199, width:    18, height:    40
3: person           90% - Location - xc:   388, yc:   284, width:    18, height:    47
4: person           90% - Location - xc:   257, yc:   252, width:    20, height:    48
5: person           89% - Location - xc:  1060, yc:   280, width:    19, height:    40
6: person           85% - Location - xc:   198, yc:   314, width:    18, height:    46
7: person           84% - Location - xc:   534, yc:   195, width:    16, height:    34
8: person           81% - Location - xc:   916, yc:   307, width:    22, height:    50
9: person           76% - Location - xc:  1226, yc:   307, width:    19, height:    43
10: person           76% - Location - xc:  1177, yc:   248, width:    20, height:    44
11: person           72% - Location - xc:  1090, yc:   204, width:    18, height:    36
12: person           70% - Location - xc:   201, yc:   380, width:    20, height:    55
13: person           59% - Location - xc:   507, yc:   637, width:    27, height:    54
14: person           57% - Location - xc:   637, yc:   367, width:  1118, height:   487
15: person           66% - Location - xc:   876, yc:   226, width:    16, height:    27

Frame 20:
1: person           94% - Location - xc:  1002, yc:   355, width:    19, height:    46
2: person           92% - Location - xc:   338, yc:   198, width:    18, height:    39
3: person           91% - Location - xc:   388, yc:   284, width:    18, height:    47
4: person           89% - Location - xc:  1060, yc:   280, width:    19, height:    41
5: person           89% - Location - xc:   257, yc:   252, width:    21, height:    48
6: person           86% - Location - xc:   534, yc:   195, width:    17, height:    34
7: person           85% - Location - xc:   197, yc:   314, width:    19, height:    46
8: person           80% - Location - xc:   916, yc:   306, width:    22, height:    49
9: person           77% - Location - xc:  1226, yc:   308, width:    19, height:    42
10: person           75% - Location - xc:  1177, yc:   248, width:    20, height:    44
11: person           71% - Location - xc:   201, yc:   380, width:    20, height:    55
12: person           72% - Location - xc:  1090, yc:   204, width:    18, height:    36
13: person           61% - Location - xc:   508, yc:   636, width:    26, height:    53
14: person           56% - Location - xc:   636, yc:   367, width:  1115, height:   488
15: person           67% - Location - xc:   876, yc:   227, width:    16, height:    28

Frame 21:
1: person           95% - Location - xc:  1002, yc:   355, width:    19, height:    46
2: person           91% - Location - xc:   338, yc:   198, width:    18, height:    40
3: person           91% - Location - xc:   388, yc:   284, width:    18, height:    47
4: person           89% - Location - xc:  1060, yc:   280, width:    19, height:    41
5: person           87% - Location - xc:   535, yc:   195, width:    17, height:    34
6: person           85% - Location - xc:   197, yc:   314, width:    18, height:    46
7: person           86% - Location - xc:   257, yc:   252, width:    21, height:    48
8: person           80% - Location - xc:   915, yc:   306, width:    21, height:    49
9: person           76% - Location - xc:  1225, yc:   308, width:    19, height:    42
10: person           74% - Location - xc:  1178, yc:   248, width:    20, height:    45
11: person           72% - Location - xc:   201, yc:   380, width:    20, height:    55
12: person           72% - Location - xc:  1090, yc:   204, width:    19, height:    36
13: person           62% - Location - xc:   508, yc:   636, width:    26, height:    51
14: person           56% - Location - xc:   636, yc:   366, width:  1110, height:   491
15: person           69% - Location - xc:   876, yc:   227, width:    16, height:    30

Frame 22:
1: person           94% - Location - xc:  1003, yc:   355, width:    20, height:    46
2: person           90% - Location - xc:   338, yc:   198, width:    17, height:    40
3: person           90% - Location - xc:   388, yc:   284, width:    18, height:    47
4: person           89% - Location - xc:  1060, yc:   280, width:    19, height:    40
5: person           88% - Location - xc:   536, yc:   195, width:    17, height:    34
6: person           86% - Location - xc:   197, yc:   313, width:    18, height:    47
7: person           84% - Location - xc:   257, yc:   251, width:    21, height:    49
8: person           81% - Location - xc:   915, yc:   306, width:    21, height:    49
9: person           76% - Location - xc:  1225, yc:   308, width:    19, height:    42
10: person           73% - Location - xc:   876, yc:   226, width:    17, height:    31
11: person           73% - Location - xc:  1178, yc:   248, width:    20, height:    44
12: person           73% - Location - xc:   201, yc:   380, width:    20, height:    55
13: person           64% - Location - xc:   508, yc:   636, width:    25, height:    51
14: person           72% - Location - xc:  1090, yc:   204, width:    18, height:    36
15: person           56% - Location - xc:   637, yc:   367, width:  1106, height:   493

Frame 23:
1: person           94% - Location - xc:  1003, yc:   354, width:    20, height:    45
2: person           91% - Location - xc:   338, yc:   198, width:    17, height:    40
3: person           91% - Location - xc:   388, yc:   284, width:    18, height:    47
4: person           89% - Location - xc:   537, yc:   195, width:    17, height:    34
5: person           89% - Location - xc:  1060, yc:   280, width:    19, height:    40
6: person           86% - Location - xc:   197, yc:   313, width:    18, height:    47
7: person           84% - Location - xc:   257, yc:   251, width:    21, height:    48
8: person           81% - Location - xc:   915, yc:   306, width:    21, height:    49
9: person           76% - Location - xc:  1225, yc:   308, width:    19, height:    42
10: person           75% - Location - xc:   876, yc:   226, width:    17, height:    33
11: person           64% - Location - xc:   508, yc:   636, width:    25, height:    51
12: person           73% - Location - xc:  1178, yc:   248, width:    19, height:    43
13: person           73% - Location - xc:   201, yc:   380, width:    20, height:    55
14: person           73% - Location - xc:  1090, yc:   204, width:    18, height:    36
15: person           56% - Location - xc:   637, yc:   367, width:  1103, height:   495
16: person           58% - Location - xc:   677, yc:   463, width:    18, height:    48

Frame 24:
1: person           94% - Location - xc:  1003, yc:   355, width:    20, height:    44
2: person           91% - Location - xc:   338, yc:   198, width:    17, height:    40
3: person           91% - Location - xc:   388, yc:   284, width:    18, height:    47
4: person           89% - Location - xc:   537, yc:   195, width:    17, height:    34
5: person           89% - Location - xc:  1060, yc:   280, width:    19, height:    40
6: person           87% - Location - xc:   197, yc:   313, width:    18, height:    47
7: person           85% - Location - xc:   257, yc:   250, width:    21, height:    49
8: person           82% - Location - xc:   915, yc:   306, width:    21, height:    49
9: person           78% - Location - xc:   876, yc:   226, width:    19, height:    33
10: person           76% - Location - xc:  1226, yc:   308, width:    20, height:    42
11: person           75% - Location - xc:  1179, yc:   249, width:    19, height:    42
